date,time,count,menu_condition
20-Feb,2:30 PM,41,Multimodal
20-Feb,2:45 PM,51,Multimodal
20-Feb,3:00 PM,2,Multimodal
20-Feb,8:00 AM,9,Multimodal
20-Feb,8:15 AM,20,Multimodal
20-Feb,8:30 AM,23,Multimodal
20-Feb,8:45 AM,33,Multimodal
20-Feb,9:00 AM,31,Multimodal
20-Feb,9:15 AM,17,Multimodal
20-Feb,9:30 AM,15,Multimodal
20-Feb,9:45 AM,40,Multimodal
21-Feb,10:00 AM,53,Multimodal
21-Feb,10:15 AM,28,Multimodal
21-Feb,10:30 AM,12,Multimodal
21-Feb,10:45 AM,19,Multimodal
21-Feb,11:00 AM,76,Multimodal
21-Feb,11:15 AM,87,Multimodal
21-Feb,11:30 AM,65,Multimodal
21-Feb,11:45 AM,56,Multimodal
21-Feb,12:00 PM,120,Multimodal
21-Feb,12:15 PM,183,Multimodal
21-Feb,12:30 PM,101,Multimodal
21-Feb,12:45 PM,52,Multimodal
21-Feb,1:00 PM,55,Multimodal
21-Feb,1:15 PM,96,Multimodal
21-Feb,1:30 PM,60,Multimodal
21-Feb,1:45 PM,37,Multimodal
21-Feb,2:00 PM,3,Multimodal
21-Feb,8:00 AM,7,Multimodal
21-Feb,8:15 AM,5,Multimodal
21-Feb,8:30 AM,19,Multimodal
21-Feb,8:45 AM,28,Multimodal
21-Feb,9:00 AM,28,Multimodal
21-Feb,9:15 AM,16,Multimodal
21-Feb,9:30 AM,13,Multimodal
21-Feb,9:45 AM,22,Multimodal
24-Feb,10:00 AM,41,Control
24-Feb,10:15 AM,36,Control
24-Feb,10:30 AM,8,Control
24-Feb,10:45 AM,18,Control
24-Feb,11:00 AM,115,Control
24-Feb,11:15 AM,108,Control
24-Feb,11:30 AM,150,Control
24-Feb,11:45 AM,84,Control
24-Feb,12:00 PM,127,Control
24-Feb,12:15 PM,179,Control
24-Feb,12:30 PM,95,Control
24-Feb,12:45 PM,113,Control
24-Feb,1:00 PM,188,Control
24-Feb,1:15 PM,139,Control
24-Feb,1:30 PM,57,Control
24-Feb,1:45 PM,34,Control
24-Feb,2:00 PM,46,Control
24-Feb,2:15 PM,52,Control
24-Feb,2:30 PM,35,Control
24-Feb,2:45 PM,41,Control
24-Feb,3:00 PM,1,Control
24-Feb,8:00 AM,12,Control
24-Feb,8:15 AM,34,Control
24-Feb,8:30 AM,17,Control
24-Feb,8:45 AM,30,Control
24-Feb,9:00 AM,25,Control
24-Feb,9:15 AM,10,Control
24-Feb,9:30 AM,27,Control
24-Feb,9:45 AM,28,Control
25-Feb,10:00 AM,50,Control
25-Feb,10:15 AM,24,Control
25-Feb,10:30 AM,16,Control
25-Feb,10:45 AM,18,Control
25-Feb,11:00 AM,100,Control
25-Feb,11:15 AM,81,Control
25-Feb,11:30 AM,152,Control
25-Feb,11:45 AM,116,Control
25-Feb,12:00 PM,87,Control
25-Feb,12:15 PM,109,Control
25-Feb,12:30 PM,76,Control
25-Feb,12:45 PM,94,Control
25-Feb,1:00 PM,233,Control
25-Feb,1:15 PM,151,Control
25-Feb,1:30 PM,59,Control
25-Feb,1:45 PM,59,Control
25-Feb,2:00 PM,50,Control
25-Feb,2:15 PM,65,Control
25-Feb,2:30 PM,40,Control
25-Feb,2:45 PM,52,Control
25-Feb,3:00 PM,5,Control
25-Feb,3:15 PM,1,Control
25-Feb,8:00 AM,9,Control
25-Feb,8:15 AM,18,Control
25-Feb,8:30 AM,37,Control
25-Feb,8:45 AM,26,Control
25-Feb,9:00 AM,29,Control
25-Feb,9:15 AM,23,Control
25-Feb,9:30 AM,21,Control
25-Feb,9:45 AM,32,Control
26-Feb,10:00 AM,54,Control
26-Feb,10:15 AM,20,Control
26-Feb,10:30 AM,7,Control
26-Feb,10:45 AM,10,Control
26-Feb,11:00 AM,111,Control
26-Feb,11:15 AM,131,Control
26-Feb,11:30 AM,133,Control
26-Feb,11:45 AM,88,Control
26-Feb,12:00 PM,105,Control
26-Feb,12:15 PM,185,Control
26-Feb,12:30 PM,86,Control
26-Feb,12:45 PM,100,Control
26-Feb,1:00 PM,153,Control
26-Feb,1:15 PM,130,Control
26-Feb,1:30 PM,67,Control
26-Feb,1:45 PM,36,Control
26-Feb,2:00 PM,36,Control
26-Feb,2:15 PM,78,Control
26-Feb,2:30 PM,40,Control
26-Feb,2:45 PM,36,Control
26-Feb,7:45 AM,1,Control
26-Feb,8:00 AM,22,Control
26-Feb,8:15 AM,23,Control
26-Feb,8:30 AM,18,Control
26-Feb,8:45 AM,32,Control
26-Feb,9:00 AM,32,Control
